epoch,train_loss_total,train_loss_kd,train_loss_hard,train_acc,val_acc
1,1.147782,1.543089,0.225399,0.925018,0.958217
2,0.480204,0.652824,0.077425,0.974760,0.976815
3,0.382195,0.525188,0.048543,0.986271,0.981911
4,0.308755,0.424327,0.039088,0.988489,0.980127
5,0.276387,0.380240,0.034065,0.990073,0.985223
6,0.229428,0.315483,0.028632,0.991551,0.985732
7,0.227695,0.313930,0.026482,0.993452,0.985987
8,0.208827,0.288607,0.022673,0.994508,0.983439
9,0.198959,0.275482,0.020404,0.995459,0.985987
10,0.175604,0.242269,0.020052,0.996198,0.985223
11,0.164208,0.226769,0.018233,0.995670,0.988790
12,0.159723,0.220491,0.017932,0.996198,0.987516
13,0.146481,0.202154,0.016577,0.996832,0.987771
14,0.145264,0.200871,0.015515,0.996832,0.987261
15,0.135749,0.187507,0.014980,0.997149,0.987771
16,0.134176,0.185154,0.015228,0.997360,0.987516
17,0.127185,0.174821,0.016035,0.996832,0.989554
18,0.120489,0.166074,0.014124,0.997360,0.987771
19,0.115671,0.159745,0.012832,0.998627,0.989299
20,0.112528,0.155186,0.012992,0.998205,0.988280
21,0.109800,0.150695,0.014377,0.997360,0.988790
22,0.102453,0.140701,0.013206,0.998205,0.988535
23,0.105983,0.145721,0.013262,0.997993,0.988535
24,0.101573,0.139777,0.012430,0.998099,0.988790
25,0.101512,0.139750,0.012290,0.998099,0.988280
26,0.099905,0.137179,0.012932,0.998205,0.988790
27,0.100078,0.137616,0.012490,0.998521,0.988790
28,0.097307,0.133333,0.013246,0.997782,0.988790
29,0.098428,0.134619,0.013982,0.997571,0.988790
30,0.097298,0.133704,0.012350,0.998099,0.988790
